Qty,Value,Package,Parts,Description,Retailer,Catalogue
4,B100K,ALPHA_RV09_9MMPOT,"R1, R2, R3, R4",Taiwan Alpha 9mm Potentiometer,Thonk,D-shaft B100K
2,BANANA_PANEL,BANANA_PANEL,"1V/OCT, FMCV",Red Banana Socket,Farnell,1698950
3,BANANA_PANEL,BANANA_PANEL,"SIN, SQR, TRI",Blue Banana Socket,Farnell,1698952
2,Male Header,Male Header,,8way 1row 2.54mm Header Male,Farnell,2356160
2,Female Header,Female Header,,8way 1row 2.54mm Header Female,Farnell,1668208
1,Large Knob,Large Knob,R1,SIFAM/SELCO Large Grey,Thonk ,Large Grey
3,Small Knob,Small Knob,"R2, R3, R4",SIFAM/SELCO Small Grey,Thonk ,Small Grey
1,Large Blue Cap,Large Blue Cap,R1,SIFAM/SELCO Cap Blue Large,Thonk ,Cap Blue Large
2,Small Blue Cap,Small Blue Cap,"R2, R4",SIFAM/SELCO Cap Blue Small,Thonk ,Cap Blue Small
1,Small Red Cap,Small Red Cap,R3,SIFAM/SELCO Cap Red Small,Thonk ,Cap Red Small
4,PCB Standoff,PCB Standoff,,PCB Spacer,Farnell,1733392
4,M3 Screw,M3 Screw,,Stainless Steel M3,Farnell,1420032
